advertising_investment,units_sold
38.81,1782
22.22,926
43.0,1809
35.02,1089
5.16,143
48.79,1930
38.18,1410
39.41,1725
6.84,680
22.79,810
18.85,711
46.37,1917
32.37,1592
41.23,1503
22.45,1010
11.75,840
27.95,934
3.66,67
41.47,1632
31.77,1249
38.03,1687
18.05,842
48.55,1699
44.71,1896
39.03,1517
10.13,696
23.6,923
2.67,126
8.14,510
34.31,1538
37.37,1607
48.39,1706
16.63,833
18.84,681
23.74,1057
9.88,282
6.93,450
24.05,913
11.73,373
33.66,1506
22.14,998
41.72,1613
35.16,1674
15.96,660
41.7,1709
40.34,1693
19.68,775
14.77,752
34.28,1343
7.42,340
10.4,720
0.86,0
39.45,1257
33.41,1631
35.41,1848
39.15,1547
23.22,712
28.65,1162
7.42,359
6.17,326
33.59,1229
23.82,1112
28.48,1281
38.37,1354
31.92,1438
27.9,1488
28.18,1217
15.55,660
2.03,176
22.12,1053
11.12,283
20.72,932
42.74,1686
12.08,856
3.39,223
14.43,919
15.03,526
33.26,1472
28.07,1235
39.3,1483
33.38,1415
20.62,1085
40.79,1621
8.77,199
1.62,179
4.96,173
36.26,1447
23.36,995
8.48,186
25.3,839
8.04,498
34.97,1370
22.58,593
19.36,973
15.42,747
31.7,1218
18.41,622
4.84,429
6.34,413
48.11,2306
45.47,1911
35.14,1513
13.66,614
48.47,2084
39.05,1698
35.99,1675
22.74,906
13.98,586
5.27,248
45.18,1955
23.06,1221
10.52,451
15.64,651
29.17,1276
9.25,435
42.9,1893
38.05,1228
36.11,1368
21.89,834
31.55,971
29.41,1093
32.67,1224
4.68,268
21.08,1088
2.56,181
24.95,913
16.83,751
7.65,568
5.62,187
29.59,1108
8.94,544
46.29,1846
29.26,1329
17.67,789
29.75,1356
1.63,27
47.95,1940
24.37,1014
39.25,1429
4.6,60
24.59,1157
24.79,1009
46.92,1750
28.8,1200
23.94,1199
13.72,299
16.91,538
26.27,980
22.23,1184
1.57,222
41.4,1808
44.86,1654
7.44,235
27.92,1248
5.87,352
33.78,1486
14.42,640
33.14,1421
36.49,1530
38.55,1702
5.83,463
45.84,1619
11.9,235
2.35,360
27.97,1361
18.86,684
41.57,1421
40.51,1674
16.2,875
47.67,2201
14.9,764
26.0,1052
13.17,486
46.83,1901
8.65,404
2.72,71
22.04,1265
49.62,2273
44.64,1987
37.56,1409
44.59,1943
44.73,1916
26.18,1181
16.14,921
38.71,1686
33.25,1495
19.0,938
5.18,368
37.47,1276
13.49,645
46.87,1818
12.43,400
6.58,622
41.64,1962
8.09,631
9.37,514
30.17,1469
43.79,1786
10.22,539
15.86,559
38.98,1661
48.61,1976
25.29,886
7.62,402
1.19,153
11.87,841
7.03,521
34.04,1415
6.53,405
25.56,1098
34.87,1415
29.27,1070
10.39,492
40.3,1539
35.91,1297
37.08,1606
6.99,444
6.63,104
46.41,1865
20.18,1036
15.4,864
24.68,1212
33.31,1392
47.8,1810
14.68,515
46.28,1930
1.73,243
27.98,1376
31.88,1496
5.74,318
7.45,216
21.25,880
48.33,1989
30.0,1230
46.68,1807
40.32,1690
23.64,943
39.35,1521
1.38,219
5.9,284
41.56,1736
39.94,1679
12.02,406
26.77,1065
30.5,1495
43.45,1597
30.35,956
20.92,636
19.02,847
21.58,945
32.77,1348
43.44,1953
22.97,592
12.77,665
12.21,818
37.43,1373
40.92,1618
