budget,duration_days,channels,profitable
34.73,7,6,1
34.36,48,4,1
32.63,19,1,0
11.2,45,4,0
4.01,13,3,0
37.91,6,4,1
24.94,9,2,0
1.1,53,2,0
36.51,9,3,1
39.41,31,5,1
12.17,11,4,0
32.73,37,3,1
4.21,34,6,0
18.09,43,2,1
32.89,33,5,1
16.94,54,4,1
21.19,56,5,1
5.56,32,4,0
32.75,27,4,1
20.42,19,3,1
10.68,39,6,0
31.29,27,5,1
39.19,58,2,1
22.0,53,2,1
29.75,14,5,1
39.72,40,1,1
2.17,23,3,0
24.36,35,2,0
38.72,17,1,1
5.58,35,5,0
9.7,32,1,0
22.46,32,1,0
29.17,18,4,1
22.56,57,4,1
22.36,26,6,1
3.01,58,4,0
29.83,13,3,1
13.51,24,4,0
3.88,12,4,0
38.38,5,2,1
26.73,57,3,1
18.78,14,3,0
29.57,22,2,1
19.64,19,5,1
5.86,29,3,0
24.58,28,3,1
30.13,46,5,1
30.02,42,1,0
22.51,51,5,1
37.21,42,3,1
37.88,18,1,1
35.12,31,1,1
15.49,27,6,1
11.44,56,1,0
21.66,22,6,1
26.52,10,2,0
7.26,18,1,0
22.82,28,4,1
18.12,51,4,1
1.06,50,4,0
17.33,46,3,1
16.6,43,3,0
38.57,57,1,1
3.13,35,1,0
37.21,56,6,1
36.42,43,1,1
24.39,7,6,1
8.3,5,4,0
31.86,15,5,1
7.3,44,1,0
13.5,31,5,1
26.99,33,5,1
17.58,38,5,1
18.98,52,4,1
12.82,8,4,0
2.45,14,4,0
15.07,50,6,1
33.24,27,6,1
33.38,32,6,1
4.16,59,1,0
22.57,16,6,1
14.8,22,4,0
16.56,7,4,1
39.53,43,3,1
32.56,55,3,1
20.77,56,5,1
20.79,41,4,1
36.76,35,4,1
15.63,34,3,0
31.49,33,4,1
29.45,47,3,1
29.76,34,3,1
18.77,47,1,0
27.73,19,6,1
33.65,59,3,1
12.53,33,4,0
30.76,37,1,1
19.8,45,2,1
21.84,54,6,1
19.13,32,1,0
15.62,57,2,1
30.34,23,6,1
16.28,36,4,0
8.07,27,6,0
31.72,10,2,1
16.59,10,4,0
23.59,30,2,0
39.31,5,5,1
26.26,47,1,0
21.45,57,6,1
12.07,35,5,0
28.65,26,5,1
38.46,49,5,1
28.62,45,2,1
31.03,46,6,1
13.41,42,5,1
13.22,27,3,0
14.95,20,4,0
19.67,17,4,1
35.84,22,2,1
19.19,54,2,1
7.88,41,4,1
21.79,37,6,1
11.13,32,6,1
25.8,30,4,1
14.21,41,6,1
38.11,38,3,1
18.04,37,3,1
23.72,22,1,0
23.8,31,6,1
17.14,28,4,1
39.14,40,2,1
2.68,11,6,0
30.0,30,3,1
11.31,48,2,0
3.37,8,2,0
8.0,44,3,0
30.29,34,3,1
36.44,40,4,1
31.24,58,6,1
12.11,50,5,1
20.37,46,2,0
5.62,33,4,0
17.37,19,2,0
11.06,37,5,0
2.23,33,2,0
12.36,16,3,0
37.21,10,6,1
21.7,24,1,0
11.68,42,2,0
5.44,43,5,0
36.01,26,3,1
4.57,20,4,0
2.49,37,3,0
5.37,31,2,0
30.35,59,5,1
37.43,47,6,1
4.73,39,3,0
25.87,19,6,1
26.43,49,5,1
21.53,15,2,0
1.15,5,5,0
28.0,44,3,1
17.77,22,1,0
37.34,42,1,1
39.89,37,6,1
25.83,57,5,1
5.52,15,2,0
13.38,10,4,0
25.56,35,4,1
34.98,57,3,1
17.43,24,1,0
15.08,53,1,0
24.66,31,6,1
34.35,15,5,1
8.61,9,1,0
24.22,28,1,0
25.03,45,6,1
19.53,14,6,1
15.04,19,4,0
37.98,34,5,1
32.84,23,5,1
7.06,54,2,0
1.03,14,5,0
11.07,34,2,0
17.49,19,1,0
7.32,60,5,0
14.17,13,5,0
27.54,29,6,1
29.83,60,2,1
32.92,18,1,1
32.75,50,1,1
13.59,54,1,0
21.78,47,6,1
29.78,16,1,0
24.88,9,2,1
23.61,46,5,1
32.68,19,6,1
37.86,41,2,1
36.01,56,2,1
11.54,34,1,0
5.68,55,5,0
12.25,21,3,0
32.24,14,5,1
13.33,40,6,1
30.0,38,3,1
24.1,41,5,1
39.73,42,3,1
5.64,46,5,0
33.31,28,6,1
2.81,7,2,0
25.94,23,2,0
21.98,22,2,1
10.55,19,1,0
11.25,5,4,0
16.1,44,5,1
19.88,58,5,1
7.15,23,6,0
18.18,27,1,0
4.45,45,3,0
20.47,54,6,1
22.05,6,2,0
16.11,57,2,0
20.23,34,2,0
23.19,32,5,1
21.33,54,4,1
8.04,52,4,0
9.57,12,6,0
11.36,56,1,0
39.98,5,5,1
20.56,33,5,1
28.58,45,5,1
8.91,5,3,0
21.29,15,3,0
18.07,32,6,1
8.9,36,2,0
9.56,60,4,0
10.38,5,5,0
29.81,17,6,1
30.02,32,6,1
34.83,32,3,1
14.13,28,4,0
21.23,57,1,1
29.33,5,6,1
22.88,53,4,1
34.56,21,3,1
1.85,15,2,0
28.15,30,2,1
6.11,37,3,0
21.13,33,1,0
16.31,36,4,0
18.64,22,2,0
30.94,43,6,1
4.53,41,5,0
2.91,55,1,0
37.57,46,5,1
19.96,52,2,0
17.03,10,2,0
6.94,41,1,0
20.62,56,3,1
26.98,34,5,1
35.88,25,1,0
16.23,43,1,0
6.04,38,3,0
30.52,34,6,1
12.88,56,3,0
28.86,6,3,0
32.24,43,6,1
38.56,18,5,1
7.66,28,5,0
11.25,60,1,0
16.13,47,6,1
32.91,13,4,1
17.99,23,1,0
17.95,28,3,0
33.71,6,2,1
5.66,10,2,0
5.24,42,6,0
4.56,56,1,0
20.89,26,2,0
9.21,35,2,0
15.01,52,3,1
20.24,12,6,1
21.64,6,1,0
16.28,21,1,0
6.39,45,1,0
32.9,20,4,1
34.77,30,4,0
23.02,12,3,0
12.25,6,3,0
39.98,47,2,1
5.66,27,3,0
35.38,26,2,0
25.47,50,3,1
11.1,44,2,0
24.05,54,5,1
22.55,20,3,0
1.38,40,1,0
19.16,51,5,0
31.23,44,1,1
25.78,35,3,1
6.06,54,1,0
9.25,28,1,0
28.11,57,1,1
2.06,34,3,0
27.94,33,4,0
21.83,29,4,0
