advertising_investment,goal_reached
31.44,1
44.91,1
38.9,1
11.65,0
15.36,0
43.74,1
0.76,0
41.15,1
39.95,1
23.66,0
15.5,0
14.28,0
13.12,0
22.53,1
25.48,1
27.9,1
49.78,1
39.74,1
31.3,1
49.45,1
11.16,0
8.43,0
30.82,1
2.68,0
2.27,0
25.99,1
23.58,1
45.9,1
31.65,1
25.95,1
25.1,1
12.75,0
1.08,0
10.02,0
34.76,1
10.43,0
18.79,0
0.68,0
41.59,1
8.15,0
13.75,0
44.08,1
25.73,1
42.43,1
32.17,1
37.22,1
5.03,0
27.29,1
25.63,1
43.63,1
18.38,0
30.11,1
3.43,0
19.69,0
16.49,0
7.93,0
40.91,1
19.28,0
48.95,1
29.7,1
30.45,1
32.08,1
33.98,1
7.96,0
22.3,0
12.36,0
20.42,0
5.29,0
48.41,1
11.14,0
33.75,1
15.37,0
43.77,1
33.28,1
7.01,0
42.33,1
47.27,1
45.24,1
28.7,1
7.7,0
10.03,0
46.43,1
27.84,1
9.44,0
44.26,1
32.26,1
28.7,0
19.13,0
20.84,1
12.35,0
2.38,0
43.87,1
23.65,1
27.61,1
16.45,0
37.69,1
1.75,0
18.92,0
2.0,0
6.58,0
48.37,1
33.06,1
21.7,0
26.43,1
43.7,1
17.54,0
29.72,1
34.34,1
18.09,0
26.2,1
38.38,1
45.5,1
7.98,0
46.7,1
0.76,0
37.77,1
40.62,1
7.27,0
21.24,1
40.86,1
1.21,0
31.61,1
39.75,1
25.89,1
36.43,1
11.71,0
10.33,0
18.47,0
9.38,0
17.63,0
47.43,1
28.88,1
17.33,0
13.94,0
47.63,1
22.5,1
49.03,1
26.02,1
26.3,1
44.88,1
37.27,1
29.24,1
21.62,0
43.97,1
20.88,0
46.18,1
3.9,0
21.78,0
26.22,1
47.57,1
12.92,0
40.4,1
33.99,1
36.0,1
31.67,1
48.59,1
16.97,1
20.21,1
10.54,0
3.01,0
11.04,0
45.82,1
42.09,1
6.06,0
30.39,1
24.22,1
29.94,1
33.13,1
