magnitude,depth_km
2.9,18.7
3.5,162.4
5.3,516.4
2.2,16.4
2.5,22.3
3.7,183.6
5.4,405.1
5.0,449.6
4.5,501.8
4.7,471.7
4.6,198.3
2.1,12.5
2.4,15.9
2.6,7.8
3.7,207.3
5.0,458.9
3.8,121.5
2.7,6.9
3.7,37.7
3.0,20.5
4.1,166.7
4.5,162.2
2.5,32.1
5.1,448.2
6.1,487.6
4.3,180.5
3.7,130.3
5.0,145.0
4.7,438.0
4.4,427.4
3.8,122.1
2.5,53.8
4.3,143.5
2.3,41.2
3.6,174.9
5.3,430.6
3.5,17.6
4.4,468.6
4.0,171.0
3.1,152.2
2.6,27.9
2.5,11.9
3.1,176.1
3.2,148.2
4.1,380.8
2.7,9.3
5.8,460.2
2.5,25.4
1.8,24.8
2.7,19.4
3.9,139.3
4.2,142.5
4.4,177.0
2.6,51.8
4.2,160.1
5.3,447.4
2.4,28.0
4.9,414.4
2.6,8.9
2.8,20.8
5.6,388.6
5.0,461.0
3.8,158.1
2.1,45.0
2.7,22.0
2.7,13.4
2.7,20.2
2.6,24.8
3.1,26.5
2.9,14.2
2.7,31.6
5.6,509.1
4.8,155.6
4.7,163.3
4.2,180.6
3.4,9.9
2.0,18.3
2.5,22.6
3.1,21.4
2.9,8.4
4.5,432.1
3.1,18.0
4.9,159.5
3.3,156.2
2.8,19.0
3.7,152.3
2.9,14.6
4.2,493.6
2.4,12.8
3.1,58.3
2.6,18.9
4.1,168.7
5.0,523.9
4.3,165.1
1.8,7.8
2.3,18.9
4.0,163.2
3.6,484.9
2.1,11.3
2.6,30.0
4.2,119.8
2.7,12.7
4.1,157.3
5.7,349.4
4.5,173.4
3.3,15.3
5.6,438.0
3.1,24.3
4.0,189.1
3.0,9.2
3.9,109.0
2.8,22.4
1.9,8.8
5.0,505.9
4.2,150.9
4.0,143.2
4.0,177.5
4.9,478.3
5.0,455.0
2.6,23.8
3.8,161.9
3.9,160.2
3.6,15.4
4.5,388.9
3.6,132.9
4.4,117.4
2.2,12.0
3.0,21.1
3.1,28.2
2.2,17.4
4.1,173.3
3.0,27.2
2.8,11.4
2.2,23.3
5.9,429.5
4.2,168.2
3.0,29.2
2.3,12.3
3.3,28.8
3.8,137.3
3.5,200.7
3.3,163.8
2.2,27.9
2.8,6.9
3.9,197.5
3.4,25.7
4.1,448.8
3.4,114.6
4.0,150.6
4.5,146.4
5.0,362.4
4.5,400.9
4.4,149.7
2.9,33.4
3.3,193.4
5.3,383.6
5.7,514.5
3.8,142.9
4.4,142.1
3.6,145.2
5.0,450.6
4.0,423.5
2.5,7.7
2.2,32.3
3.9,192.5
3.4,148.0
3.8,155.2
2.9,5.8
5.3,437.9
2.4,9.7
3.7,160.0
4.8,163.5
2.3,21.9
2.2,26.5
4.0,212.0
2.8,5.7
4.2,158.4
4.5,133.7
3.4,9.6
3.0,9.1
5.7,491.6
3.8,155.2
4.9,434.8
2.9,16.9
3.5,10.2
3.8,125.7
4.3,505.4
4.1,436.5
2.6,16.2
4.4,430.4
3.3,167.0
2.6,14.7
3.1,164.7
3.8,141.5
4.7,406.8
5.2,488.6
3.7,142.7
2.9,28.4
3.7,161.6
4.0,167.7
4.5,474.5
2.9,9.6
4.2,174.5
4.0,140.6
2.4,9.2
4.0,401.3
3.7,123.1
2.3,32.4
3.6,158.9
2.9,10.9
3.9,165.5
3.2,504.9
2.5,7.1
3.9,140.6
2.8,16.8
5.4,425.9
4.8,139.5
3.9,395.9
5.3,464.1
5.5,425.6
2.6,19.7
5.3,470.4
4.8,159.8
3.5,125.3
2.1,11.2
4.9,457.5
4.3,197.0
3.9,526.4
3.6,169.6
3.5,143.4
4.3,382.8
4.1,151.6
4.2,190.3
4.8,452.4
2.0,14.5
3.3,144.2
3.1,40.8
3.0,23.8
2.7,39.3
3.2,9.2
4.5,452.9
1.9,24.2
4.7,521.6
4.2,157.4
5.0,173.5
4.7,513.4
3.7,156.1
1.9,22.5
3.1,37.6
3.8,151.1
4.7,130.1
5.0,404.9
2.5,17.2
3.8,143.8
5.6,453.5
4.1,167.0
3.8,445.8
4.0,475.9
4.2,162.0
2.4,12.9
4.1,516.0
3.2,8.6
2.7,10.2
5.0,425.1
4.2,119.9
3.4,132.7
2.7,11.6
3.0,24.6
3.7,185.8
2.3,36.7
4.2,145.8
4.1,124.1
4.2,413.2
5.4,503.7
2.4,34.0
2.6,22.0
3.1,19.3
3.5,127.3
2.9,8.9
3.9,147.3
2.4,16.9
4.7,433.7
2.7,54.0
2.5,36.2
4.2,472.1
2.8,27.3
2.5,18.4
4.5,489.5
2.8,15.0
4.2,157.0
4.4,178.7
4.3,429.6
3.5,163.6
2.5,4.6
3.9,163.1
6.1,437.2
5.0,461.6
4.0,404.9
4.3,151.9
3.8,495.6
4.5,430.3
2.9,34.5
2.3,6.0
2.5,11.9
5.0,443.3
2.6,7.8
3.1,15.9
4.5,448.2
3.3,17.6
3.7,154.9
4.3,471.9
2.6,11.8
4.2,411.6
4.3,194.3
3.1,20.1
2.4,24.7
3.6,149.3
3.3,11.5
3.5,145.3
4.7,472.2
4.5,184.3
2.8,190.7
3.7,152.3
4.1,155.2
3.1,15.5
3.7,164.6
5.7,439.4
3.3,43.1
4.1,186.6
3.4,4.2
2.3,41.6
2.5,20.9
4.9,399.2
2.6,23.8
4.6,428.1
3.8,461.8
3.6,178.3
4.2,174.9
3.3,16.3
3.8,148.7
2.3,25.5
2.9,28.0
3.8,128.9
4.3,129.8
3.3,165.9
1.8,9.8
2.7,91.7
4.8,162.9
4.6,483.7
4.2,474.4
2.7,15.6
4.4,130.2
2.8,21.2
3.6,159.5
3.1,23.2
4.8,393.7
3.8,151.4
4.3,182.4
4.9,549.8
5.1,434.8
2.9,21.7
4.3,158.4
2.7,11.2
2.5,17.1
3.8,159.7
3.0,9.9
2.8,23.1
4.2,137.1
2.3,25.7
4.8,410.6
2.3,42.3
1.8,28.1
4.0,187.5
5.3,412.1
3.2,28.4
2.5,26.0
4.1,178.6
2.4,26.2
2.8,2.5
2.4,8.9
3.3,11.4
3.6,140.6
5.7,421.5
4.8,168.3
3.3,8.0
3.8,142.4
3.9,173.6
2.7,9.4
3.4,172.3
3.4,142.0
3.2,21.7
2.2,41.2
3.3,155.8
2.7,33.3
3.1,148.8
3.4,29.4
3.9,123.5
3.1,16.4
3.4,166.1
3.2,16.9
5.7,507.6
4.0,141.1
3.9,184.7
3.4,19.2
4.4,200.1
3.1,13.6
5.1,405.7
2.8,39.5
3.0,13.4
3.0,71.1
2.2,23.2
2.0,21.7
4.6,403.4
3.3,521.5
4.0,172.3
3.1,49.5
3.6,167.6
4.0,161.0
3.2,23.0
4.2,426.0
4.6,474.2
2.9,14.3
3.8,170.2
2.0,7.4
2.5,35.6
4.6,363.4
2.9,14.9
4.6,179.8
2.3,7.3
4.4,133.2
4.0,129.5
2.3,9.9
2.7,3.9
3.5,178.7
2.5,17.1
3.1,18.6
4.2,148.5
4.3,451.7
4.3,158.4
4.4,155.1
2.8,14.4
4.4,155.6
2.5,8.6
4.2,180.0
2.9,29.5
4.3,169.1
2.7,17.4
2.4,31.9
4.7,166.2
4.4,439.9
2.2,47.4
4.9,138.3
4.3,156.5
2.5,17.4
4.2,145.8
4.9,161.8
4.7,395.1
4.3,152.3
4.5,419.9
2.6,5.5
4.6,454.9
3.4,133.2
3.2,23.4
5.5,521.6
2.9,26.1
2.4,16.9
3.3,162.2
4.3,158.8
3.7,187.5
6.0,385.7
3.7,152.0
2.9,14.6
4.6,498.1
4.3,167.6
3.8,160.7
4.2,155.8
2.6,14.5
3.6,196.3
2.7,8.1
2.5,25.6
3.3,17.5
2.7,13.0
2.4,23.0
2.5,18.5
4.1,169.5
2.6,12.3
6.3,480.5
4.6,149.4
3.8,162.9
4.7,146.9
2.7,22.1
3.1,9.6
2.2,33.9
4.0,485.4
3.3,141.6
2.7,23.6
2.3,10.0
4.1,121.5
3.1,32.4
4.4,176.9
4.7,487.1
3.3,10.6
4.5,437.0
3.5,150.8
4.1,110.3
3.8,167.5
2.6,6.8
2.8,2.9
4.0,130.3
4.8,188.0
2.9,46.7
5.0,423.6
4.1,188.1
2.3,34.0
3.8,150.2
4.4,433.4
3.5,151.3
4.3,514.6
4.6,495.6
3.3,7.6
3.2,18.3
3.7,180.1
4.6,166.5
4.9,437.8
2.9,23.9
2.4,9.3
3.4,144.9
3.3,39.4
4.3,123.5
4.7,475.1
4.0,149.4
3.2,11.0
4.3,158.9
4.7,168.8
4.0,166.8
1.9,10.9
4.9,139.8
2.5,29.0
4.7,159.1
4.1,193.3
4.6,444.9
3.3,169.3
4.7,454.3
2.6,20.3
2.9,30.6
3.1,187.7
3.8,139.4
3.5,146.2
2.8,16.8
5.6,419.9
3.8,165.4
3.6,202.3
3.1,179.6
3.1,17.1
4.1,154.3
2.9,18.2
2.5,16.3
2.0,26.6
2.7,20.2
4.1,129.3
2.3,11.7
4.1,443.6
2.1,5.7
4.1,181.1
4.0,552.6
3.7,159.2
1.9,42.4
3.4,147.1
3.3,20.9
3.2,5.9
3.2,29.9
2.8,19.7
3.4,136.9
2.1,28.6
4.0,165.8
4.0,402.1
5.1,444.0
1.9,12.6
2.6,11.1
2.8,27.6
2.7,4.9
4.0,145.1
3.1,8.1
2.7,11.5
4.2,173.5
4.1,186.9
3.6,131.5
4.0,142.7
4.3,176.7
2.8,42.4
4.7,141.2
3.4,179.0
3.9,124.7
4.1,154.0
2.6,9.7
3.1,10.4
2.3,20.6
2.7,37.6
4.4,504.9
4.0,141.4
2.6,13.8
2.5,19.3
3.6,173.6
3.4,39.1
5.3,500.9
3.1,30.2
2.3,7.1
2.9,8.4
4.3,125.0
3.4,128.1
2.7,12.7
4.0,170.0
3.1,43.0
3.1,27.6
5.0,442.9
3.0,17.0
2.6,10.8
3.2,32.1
4.2,133.0
4.3,170.1
3.1,159.0
4.4,155.2
3.6,167.4
4.1,140.1
2.7,25.5
2.2,15.7
2.1,22.0
3.0,13.0
3.7,164.3
2.6,13.6
5.0,420.6
4.3,183.7
2.3,9.5
2.6,16.2
3.4,198.9
5.0,526.6
4.8,516.3
3.4,77.7
3.9,166.8
3.4,156.6
3.3,178.2
3.4,4.7
4.6,152.7
3.9,135.2
5.6,513.4
2.6,4.5
4.4,135.7
3.8,158.7
2.8,19.6
2.8,18.4
3.1,32.1
4.4,136.2
3.5,161.0
4.0,171.6
2.8,30.8
3.3,45.7
3.9,168.2
5.2,400.6
3.7,158.2
4.7,157.6
2.3,13.8
6.0,395.4
2.5,5.2
4.7,474.8
3.0,22.1
3.3,159.0
3.1,16.2
2.5,46.3
4.2,183.7
4.4,133.7
3.5,10.8
4.2,200.4
2.2,3.4
3.0,25.6
4.6,115.8
3.3,16.3
4.3,179.2
3.5,143.8
5.5,493.5
3.0,5.9
4.4,469.1
5.6,399.4
2.3,13.2
4.2,207.2
5.2,351.9
3.1,35.9
4.9,457.2
2.2,25.3
2.7,10.8
2.7,20.9
4.8,175.2
2.6,8.8
4.1,152.2
2.5,13.3
4.5,478.1
2.9,23.8
2.1,33.5
2.8,25.9
5.1,442.1
3.2,17.2
3.5,162.0
4.7,385.3
4.0,173.5
4.6,481.0
2.3,10.8
2.5,25.3
2.9,41.8
3.6,169.1
3.8,152.4
4.7,147.7
2.4,10.8
2.9,24.2
5.0,415.2
3.1,27.4
3.1,15.5
4.1,167.0
4.7,156.4
3.7,140.8
4.6,433.2
4.2,402.1
2.8,9.4
2.3,33.6
3.1,121.7
5.3,427.2
2.5,20.2
2.8,21.8
4.2,155.2
2.6,6.2
2.3,12.5
2.5,37.0
2.6,9.2
3.5,154.0
4.1,144.0
3.3,155.1
4.9,486.2
2.3,13.5
4.1,173.0
2.7,12.5
3.6,172.5
3.6,139.6
4.1,159.7
5.7,433.5
4.0,136.3
3.5,147.7
4.1,142.0
4.0,403.1
2.8,34.9
2.8,14.3
2.7,17.1
3.4,181.4
5.0,415.1
4.2,141.0
3.1,26.9
4.6,483.9
4.4,128.5
4.2,153.0
5.1,466.4
2.3,17.6
4.0,179.5
4.4,161.1
4.3,429.2
2.6,16.4
4.2,144.8
3.0,8.0
3.3,8.5
3.6,170.5
4.6,401.5
4.8,506.8
4.9,419.4
3.0,7.2
3.4,147.8
3.2,17.3
4.1,157.7
3.0,18.0
5.3,462.3
2.8,11.4
4.0,182.6
3.0,24.7
5.0,462.2
4.9,409.5
3.9,176.9
3.1,37.4
2.6,11.7
2.2,14.5
3.6,167.5
3.0,13.6
3.1,28.5
2.8,20.9
3.8,153.2
2.3,15.2
4.3,385.9
2.8,13.1
2.8,11.4
1.9,17.7
5.5,454.7
2.7,12.8
4.2,174.0
3.0,21.9
4.4,143.4
4.4,483.3
3.7,137.8
4.7,138.5
5.1,379.4
2.2,25.2
5.5,382.6
4.0,405.6
4.5,442.2
4.4,136.3
4.7,154.3
3.8,142.2
3.2,140.8
2.7,20.9
3.8,157.1
4.3,159.3
5.3,449.8
4.1,442.1
2.9,19.8
4.3,391.0
3.6,134.8
3.8,155.4
2.9,160.4
2.5,8.9
1.9,32.3
3.6,143.8
3.1,20.7
3.6,155.3
5.6,480.6
2.3,28.4
3.1,45.4
3.0,35.1
3.8,193.0
3.4,156.1
3.0,137.5
5.2,178.7
2.6,35.9
3.5,155.4
3.7,125.8
3.0,23.3
2.2,8.2
5.3,359.4
2.1,37.0
4.1,152.9
4.7,408.4
2.5,36.9
3.1,505.1
3.1,16.4
3.1,162.4
5.1,461.1
2.9,15.7
2.3,7.5
4.4,171.0
3.1,22.1
3.8,152.8
2.5,18.5
6.4,408.8
3.6,165.4
4.6,126.7
3.9,113.7
3.0,166.0
4.3,548.2
4.2,134.8
1.8,21.5
2.3,24.9
3.7,170.0
2.4,17.2
2.8,30.8
3.3,11.7
2.7,34.2
2.0,11.2
2.5,17.7
2.6,14.6
2.0,18.3
4.1,125.4
3.4,144.7
3.7,192.1
4.6,508.6
4.7,437.6
2.9,11.7
4.5,138.5
5.1,444.6
5.4,463.0
1.7,14.0
4.3,166.0
3.6,155.4
3.8,139.6
2.3,17.9
3.6,162.1
3.3,27.9
2.6,4.9
4.4,153.6
3.8,170.2
4.0,127.1
4.8,395.4
2.4,42.2
1.5,14.7
4.1,199.1
3.7,168.3
4.5,168.7
3.0,7.2
4.0,164.3
2.4,11.3
2.6,18.5
5.0,473.9
4.7,470.6
4.3,135.0
3.2,138.4
2.4,47.1
4.6,149.2
3.2,183.9
3.1,4.7
2.6,57.1
3.5,169.4
2.5,494.1
4.4,480.6
2.5,16.3
4.4,479.3
3.9,485.3
2.2,34.4
4.2,491.7
4.4,374.4
4.1,182.7
2.7,18.4
6.8,483.6
3.9,191.0
3.9,145.4
2.9,15.4
3.6,167.5
3.5,166.8
2.6,12.7
4.2,151.2
2.6,28.7
3.5,31.7
2.8,23.0
5.4,528.7
4.9,434.5
2.8,20.1
3.9,158.6
2.3,4.9
3.9,211.2
3.9,145.9
3.6,137.0
2.9,11.1
4.0,195.6
3.7,18.2
1.7,37.8
3.0,20.7
4.0,188.9
4.0,167.8
4.8,184.8
4.0,139.3
2.8,31.7
2.8,18.9
2.4,15.2
2.9,23.6
2.8,10.2
4.9,423.7
3.6,168.0
2.3,20.0
2.4,8.1
2.2,10.2
3.0,31.5
2.0,20.8
4.6,419.6
3.2,173.9
5.5,509.2
3.6,191.8
3.5,166.0
3.2,19.2
5.1,555.7
4.4,194.8
4.2,169.9
4.7,463.3
3.9,153.7
3.8,133.9
1.8,34.3
3.4,18.9
2.9,26.4
4.8,451.0
5.2,500.3
4.4,511.2
4.9,462.1
2.8,12.6
4.8,420.5
3.8,184.6
2.1,38.5
2.6,23.6
2.8,10.6
3.6,422.9
3.8,139.6
4.1,160.4
3.8,138.0
5.3,472.1
4.4,351.3
5.1,422.6
4.1,137.5
4.8,478.4
2.6,22.1
2.4,8.8
3.4,153.1
3.5,162.4
5.6,395.9
3.0,154.8
3.9,144.2
2.9,10.5
2.4,24.0
4.0,150.1
2.5,8.9
2.4,18.4
4.7,465.0
4.8,449.3
2.9,13.1
3.6,137.7
2.6,24.0
3.0,27.7
2.7,13.4
2.7,8.8
2.6,36.0
4.0,169.4
5.3,357.1
3.9,155.1
4.9,406.6
2.9,6.5
3.6,147.3
2.7,35.4
2.8,8.3
3.0,118.2
1.6,13.5
2.8,22.1
3.2,18.9
3.0,41.0
2.9,22.8
2.8,22.6
4.1,153.6
2.4,37.8
2.6,12.6
4.1,134.5
3.9,151.3
2.8,19.4
4.0,142.6
3.4,16.4
3.3,133.8
4.3,481.3
2.7,22.8
4.4,181.7
3.9,148.9
3.2,189.9
3.1,18.5
5.3,458.7
2.9,124.1
2.3,11.2
2.9,36.3
2.9,20.6
3.0,37.6
2.4,6.3
3.3,153.5
3.5,174.5
2.7,9.3
4.7,413.7
2.3,5.7
4.7,502.8
5.1,132.6
3.6,128.3
2.4,21.6
3.2,29.8
3.5,161.5
4.1,160.6
2.6,13.5
5.7,450.9
4.9,448.0
1.8,11.4
2.6,11.3
4.2,161.4
3.7,151.5
5.4,460.3
2.6,22.9
2.8,16.8
3.3,24.1
5.2,378.4
4.4,160.9
2.8,15.3
4.1,129.6
3.5,186.7
3.5,399.9
5.1,435.2
2.7,11.5
5.4,400.1
4.4,458.9
4.1,174.0
4.7,360.8
5.6,402.8
4.2,155.6
2.8,25.9
3.7,148.6
3.1,8.4
5.3,437.1
3.1,23.5
3.8,174.3
3.0,19.3
5.0,128.1
1.7,23.1
4.6,496.9
4.4,181.6
3.8,112.7
2.7,14.7
2.8,21.0
3.0,19.1
3.4,13.5
2.2,7.9
3.7,180.4
3.4,509.4
2.4,24.7
2.6,6.9
3.6,158.5
2.6,7.5
2.3,23.2
2.8,19.5
3.8,204.1
4.0,123.8
2.7,44.6
4.6,524.4
3.7,20.9
2.5,7.8
3.8,155.5
4.6,143.0
3.9,174.2
3.3,13.6
2.9,13.8
3.7,180.8
4.4,141.4
4.7,458.9
4.4,181.5
3.4,184.8
2.4,15.2
4.2,165.9
5.1,516.0
4.3,136.1
4.3,162.3
3.8,150.0
4.5,375.2
3.8,147.5
2.6,25.1
3.1,51.1
4.3,170.2
2.4,11.0
4.2,181.8
2.9,5.9
3.1,31.9
4.0,601.5
5.2,428.2
2.9,9.8
5.0,463.6
3.9,161.7
4.4,155.4
4.4,439.6
2.5,7.0
5.8,457.8
2.9,33.6
5.0,461.6
2.8,33.5
3.8,151.4
2.9,35.6
4.7,476.9
5.1,388.5
3.1,140.9
2.5,8.3
2.1,15.3
4.6,180.5
3.9,155.9
2.8,12.3
2.6,17.2
5.4,449.7
4.2,448.7
4.6,150.5
2.8,45.2
5.1,544.9
2.6,6.3
3.1,19.2
2.6,9.9
4.0,200.2
3.9,174.0
3.8,151.7
4.0,138.1
4.2,419.6
3.4,131.9
2.7,18.6
2.3,34.5
3.4,18.5
4.6,143.5
3.1,14.2
4.2,138.2
2.4,33.3
3.8,118.9
3.5,153.2
4.0,137.6
4.9,164.1
5.9,502.1
2.9,14.8
2.7,32.2
3.6,136.1
5.0,447.7
