magnitude,depth_km
2.6,5.5
4.3,152.3
3.6,147.3
3.3,163.8
4.2,183.7
3.6,137.7
4.5,400.9
3.8,193.0
5.0,415.1
5.8,460.2
2.4,15.2
3.1,28.2
3.6,174.9
2.4,16.9
2.6,9.7
2.3,33.6
4.4,141.4
3.2,16.9
4.5,478.1
3.0,9.2
4.4,133.7
3.3,27.9
3.8,160.7
3.1,140.9
2.9,30.6
4.2,142.5
4.6,143.5
3.9,174.2
4.1,152.9
4.3,505.4
3.5,145.3
3.5,200.7
3.7,18.2
4.4,194.8
2.1,45.0
4.6,180.5
5.1,466.4
3.2,140.8
2.1,11.3
4.4,430.4
3.1,159.0
2.6,19.7
3.4,18.9
2.8,39.5
5.7,450.9
5.1,544.9
4.6,428.1
3.2,11.0
5.6,399.4
3.8,148.7
2.0,26.6
4.0,171.6
5.0,505.9
3.2,28.4
4.8,139.5
3.8,157.1
4.2,137.1
3.0,19.1
5.4,400.1
2.4,8.8
3.3,156.2
4.7,471.7
3.1,23.5
2.6,51.8
2.9,15.4
3.6,178.3
2.5,17.2
2.6,36.0
3.7,159.2
3.0,13.6
2.7,10.2
3.1,37.4
5.2,178.7
3.4,156.1
4.6,152.7
4.5,138.5
2.3,21.9
2.9,8.9
4.2,155.6
3.6,202.3
4.0,401.3
4.9,406.6
4.0,149.4
2.7,12.7
4.2,160.1
4.9,409.5
4.3,158.4
4.1,140.1
3.9,113.7
4.7,360.8
2.6,24.0
4.1,448.8
4.1,182.7
3.7,160.0
2.6,27.9
4.0,166.8
4.7,487.1
3.2,23.0
4.1,151.6
2.7,12.7
